,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
1549,"DOOM, DR. BOB",Hero,0,na,1,0.0,
1550,DOOMSDAY MAN,Hero,19,na,7,21.0,0.9047619047619048
1551,DOOMSDAY MAN II,Hero,3,na,3,3.0,1.0
1552,DOOP,Hero,3,na,3,3.0,1.0
1553,DOORMAN,Hero,158,na,25,300.0,0.5266666666666666
1554,DOPPELGANGER,Villain,220,na,25,300.0,0.7333333333333333
1555,"DORCAS, LEMUEL DR.",Hero,18,na,8,28.0,0.6428571428571429
1556,DORMA [ATLANTEAN],Hero,77,na,20,190.0,0.4052631578947368
1557,DORMA II [ATLANTEAN],Hero,15,na,6,15.0,1.0
1558,DORMAMMU,Villain,165,na,33,528.0,0.3125
1559,"DORNOVA-BLONSKY, NAD",Hero,5,na,4,6.0,0.8333333333333334
1560,DORREK II,Hero,3,na,3,3.0,1.0
1561,DORREK [SKRULL],Hero,28,na,10,45.0,0.6222222222222222
1562,DOUGHBOY,Villain,53,na,12,66.0,0.803030303030303
1563,DOUGLOCK 2013,Hero,1,na,2,1.0,1.0
1564,"DOVER, DONNA-LEE",Hero,6,na,5,10.0,0.6
1565,DOVINIA,Hero,0,na,1,0.0,
1566,DRACCHISS,Hero,1,na,2,1.0,1.0
1567,DRACULA | MUTANT X-V,Hero,89,na,17,136.0,0.6544117647058824
1568,DRACULA/VLAD TEPES,Hero,182,na,29,406.0,0.4482758620689655
1569,DRAGONA,Hero,1,na,2,1.0,1.0
1570,"DRAGONBLOOD, ULYSSES",Hero,1,na,2,1.0,1.0
1571,DRAGONESS,Hero,17,na,7,21.0,0.8095238095238095
1572,DRAGONFIST,Hero,15,na,6,15.0,1.0
1573,DRAGONFLY II/MEIKO Y,Hero,8,na,5,10.0,0.8
1574,DRAGONFLY/VERONICA D,Hero,504,na,48,1128.0,0.44680851063829785
1575,DRAGONHEAD,Hero,0,na,1,0.0,
1576,DRAGON MAN,Hero,255,na,37,666.0,0.38288288288288286
1577,"DRAGONMEGAS, JESSIE",Hero,3,na,3,3.0,1.0
1578,DRAGON OF THE MOON,Villain,1,na,2,1.0,1.0
1579,DRAGONUS,Hero,3,na,3,3.0,1.0
1580,DRAGONWING/,Hero,1,na,2,1.0,1.0
1581,"DRAGO, VALERIE",Hero,0,na,1,0.0,
1582,"DRAKE, CARLTON",Villain,82,na,18,153.0,0.5359477124183006
1583,"DRAKE, FRANKLIN",Hero,11,na,8,28.0,0.39285714285714285
1584,"DRAKE, MADELINE BEAT",Hero,22,na,8,28.0,0.7857142857142857
1585,"DRAKE, MALCOLM",Hero,1,na,2,1.0,1.0
1586,"DRAKE, WILLIAM ROBER",Hero,85,na,16,120.0,0.7083333333333334
1587,"DRAN, DAMON",Hero,6,na,4,6.0,1.0
1588,DR. ANGST/FLOYD MANG,Villain,10,na,5,10.0,1.0
1589,DRAX/ARTHUR DOUGLAS,Hero,753,na,70,2415.0,0.31180124223602484
1590,DRAX DOPPELGANGER,Villain,55,na,11,55.0,1.0
1591,DRAX | MUTANT X-VERS,Hero,55,na,11,55.0,1.0
1592,DR. BONG,Villain,2,na,3,3.0,0.6666666666666666
1593,DR. DECIBEL/ANTON DE,Hero,3,na,3,3.0,1.0
1594,DR. DOOM CLONE/VICTO,Villain,18,na,7,21.0,0.8571428571428571
1595,DR. DOOM DOPPELGANGE,Villain,10,na,5,10.0,1.0
1596,DR. DOOM | MUTANT X-,Villain,70,na,14,91.0,0.7692307692307693
1597,DR. DOOM | TIMESLIDE,Villain,6,na,4,6.0,1.0
1598,DR. DOOM/VICTOR VON,Villain,1975,na,170,14365.0,0.13748694744169856
1599,DR. DRUID/ANTHONY LU,Hero,922,na,98,4753.0,0.19398274773827057
1600,DREADFACE,Hero,0,na,1,0.0,
1601,DREADKNIGHT/BRAM VEL,Villain,166,na,23,253.0,0.6561264822134387
1602,DREADNAUGHT,Hero,8,na,5,10.0,0.8
