,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
829,CALIBAN/,Villain,259,71,52,3692,0.07015167930660889
830,CALIFORNIUM,Hero,6,1,6,6,1.0
831,"CALKIN, SUSAN",Hero,3,1,3,3,1.0
832,"CALLAGHAN, JAMES",Hero,7,2,5,10,0.7
833,"CALLAHAN, DANNY",Hero,1,1,1,1,1.0
834,"CALLAHAN, MIKE",Hero,1,1,1,1,1.0
835,CALLISTO,Hero,200,50,54,2700,0.07407407407407407
836,CALLISTO | MUTANT X-,Hero,9,2,5,10,0.9
837,CALUMET,Hero,1,1,1,1,1.0
838,CALYPSO,Villain,33,13,9,117,0.28205128205128205
839,"CAMBRIDGE, MOXIE",Hero,2,1,2,2,1.0
840,"CAMPBELL, DR. RORY",Hero,32,15,13,195,0.1641025641025641
841,"CAMPBELL, MEREDITH",Hero,9,2,6,12,0.75
842,"CAMPBELL, VALERIE",Hero,3,1,3,3,1.0
843,CANCELLATOR,Hero,5,1,5,5,1.0
844,CANCER II/,Villain,6,1,6,6,1.0
845,CANCER/JACK KLEVENO,Villain,55,8,10,80,0.6875
846,CANDLEMAS/,Hero,1,1,1,1,1.0
847,"CANDLER, OWEN",Hero,4,2,2,4,1.0
848,CANDRA,Villain,15,7,6,42,0.35714285714285715
849,CANDY,Hero,53,15,19,285,0.18596491228070175
850,CANE/,Hero,4,4,1,4,1.0
851,CANNONBALL II/SAM GU,Hero,930,307,134,41138,0.02260683552919442
852,CANNONBALL/JACK PULV,Hero,118,24,23,552,0.213768115942029
853,CANNONBALL/SAM GUTHR,Hero,4,2,2,4,1.0
854,"CANTOR, VERA",Hero,92,32,44,1408,0.06534090909090909
855,CAPRICORN II/,Hero,7,1,7,7,1.0
856,CAPRICORN/WILLARD WE,Hero,78,11,14,154,0.5064935064935064
857,CAPTAIN AMERICA,Hero,3921,1334,393,524262,0.007479084885038397
858,CAPTAIN AMERICA DOPP,Hero,72,6,33,198,0.36363636363636365
859,CAPTAIN AMERICA IV/S,Hero,17,13,3,39,0.4358974358974359
860,CAPTAIN AMERICA V/RO,Hero,12,7,4,28,0.42857142857142855
861,CAPTAIN AMERICA | MU,Hero,59,14,21,294,0.20068027210884354
862,CAPTAIN BARRACUDA,Hero,6,6,1,6,1.0
863,CAPTAIN BRITAIN 2013,Hero,2,1,2,2,1.0
864,CAPTAIN BRITAIN/BRIA,Hero,474,279,86,23994,0.01975493873468367
865,CAPTAIN FATE,Hero,3,3,1,3,1.0
866,CAPTAIN GLORY,Hero,1,1,1,1,1.0
867,CAPTAIN HAWK,Hero,59,18,6,108,0.5462962962962963
868,CAPTAIN HIP/FRED MAC,Hero,9,5,5,25,0.36
869,CAPTAIN MANHATTAN,Hero,1,1,1,1,1.0
870,CAPTAIN MARVEL II/MO,Hero,622,175,120,21000,0.029619047619047618
871,CAPTAIN MARVEL III/G,Hero,121,49,30,1470,0.08231292517006802
872,CAPTAIN MARVEL/CAPTA,Hero,270,119,71,8449,0.031956444549650846
873,CAPTAIN POWER/DR. CH,Hero,5,2,3,6,0.8333333333333334
874,CAPTAIN RECTITUDE,Villain,6,3,2,6,1.0
875,CAPTAIN TERROR/DAN K,Hero,6,4,3,12,0.5
876,CAPTAIN U.K./LINDA M,Hero,13,6,5,30,0.43333333333333335
877,CAPTAIN ULTRA/GRIFFI,Hero,40,6,23,138,0.2898550724637681
878,CAPTAIN UNIVERSE/STE,Hero,6,6,1,6,1.0
879,CAPTAIN WINGS/,Hero,2,2,1,2,1.0
880,"CAPUTO, DR. JULIA",Hero,22,6,12,72,0.3055555555555556
881,CARBON,Hero,9,2,8,16,0.5625
882,"CARBONE, JULIUS",Hero,13,6,3,18,0.7222222222222222
883,"CARBONE, ROSALIE",Hero,15,9,3,27,0.5555555555555556
884,"CARBONE, SALVATORE",Hero,11,5,3,15,0.7333333333333333
885,"CARDENAS, PACO",Hero,3,1,3,3,1.0
886,CARDIAC/DR. ELI WIRT,Hero,50,13,21,273,0.18315018315018314
887,CARDINAL/CLEMDENON,Hero,46,7,23,161,0.2857142857142857
888,"CARDINALE, CARLOS",Hero,2,1,2,2,1.0
889,CAREGIVER/RUBANNA LA,Hero,4,2,3,6,0.6666666666666666
890,CARETAKER,Hero,2,1,2,2,1.0
891,CARGIL/JOANNA CARGIL,Hero,196,29,61,1769,0.11079706048615037
892,CARGO,Hero,4,2,2,4,1.0
