hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
AREX,Hero,106577,na,2365,2795430,0.03812544
ARGOS,Hero,40713,na,893,398278,0.102222568
"ARGOSY, HERVE",Hero,3910,na,144,10296,0.37975913
ARIANE,Hero,10565,na,254,32131,0.328810183
ARIA,Hero,130735,na,3262,5318691,0.024580296
ARIDES,Hero,97776,na,2008,2015028,0.048523395
ARIEL II,Hero,119028,na,2777,3854476,0.030880462
ARIES II/GROVER RAYM,Hero,124481,na,3147,4950231,0.025146503
ARIES III/,Hero,39326,na,705,248160,0.158470342
ARIES/MARCUS LASSITE,Hero,143185,na,4187,8763391,0.016338995
ARISHEM [CELESTIAL],Hero,159894,na,5186,13444705,0.011892712
ARIZE,Hero,123211,na,3110,4834495,0.025485806
"ARKANIAN, GLIB",Hero,51118,na,912,415416,0.123052555
ARKON,Hero,152893,na,4646,10790335,0.01416944
ARKO,Hero,67170,na,1270,805815,0.083356602
"ARLINGTON, DR. MARCU",Hero,89460,na,2031,2061465,0.043396323
ARLISSE,Hero,89588,na,1835,1682695,0.053240783
ARMADA II/,Hero,83116,na,1946,1892485,0.043918974
ARMADA,Hero,108237,na,2418,2922153,0.037040155
ARMADILLO/ANTONIO RO,Hero,142482,na,4019,8074171,0.017646641
ARMAGEDDON,Hero,69538,na,1457,1060696,0.065558841
ARMAGEDDON MAN,Hero,41873,na,908,411778,0.101688288
ARMAND,Hero,5644,na,176,15400,0.366493506
ARMAROS,Hero,14125,na,488,118828,0.11886929
ARMAZIEL,Hero,24224,na,464,107416,0.225515752
"ARMBRUSTER, COLONEL",Hero,123820,na,3068,4704778,0.026317926
ARMS MERCHANT/ANDREA,Hero,97525,na,2127,2261001,0.04313355
"ARMSTRONG, ?",Hero,13400,na,431,92665,0.144606917
"ARMSTRONG, MYRA",Hero,119265,na,2896,4191960,0.028450892
ARNSTROM,Hero,124415,na,3048,4643628,0.026792629
ARON [WATCHER],Hero,158153,na,5031,12652965,0.012499284
ARRANGER/,Hero,134268,na,3608,6507028,0.020634305
ARROW,Hero,61283,na,1194,712221,0.086044921
ARSENAL,Hero,134118,na,3540,6264030,0.021410817
ARSENAL II,Hero,23875,na,450,101025,0.236327642
ARSENIC,Hero,127702,na,3080,4741660,0.026931918
ARTEMIS,Hero,117647,na,2758,3801903,0.03094424
ARVAK,Hero,32618,na,634,200661,0.162552763
ARYAN,Villain,110456,na,2533,3206778,0.034444542
ASANO,Hero,88071,na,1834,1680861,0.052396361
"ASBERY, SHAMARI",Hero,94870,na,1960,1919820,0.049416091
ASBESTOS LADY,Hero,102238,na,2204,2427706,0.042113007
"ASH, BRANDY",Hero,80625,na,1727,1490401,0.054096179
ASHEMA [CELESTIAL],Hero,143459,na,4281,9161340,0.015659172
"ASHER, CARL",Hero,34,na,9,36,0.944444444
"ASHER, DONNA",Hero,34,na,9,36,0.944444444
"ASHER, MICHAEL",Hero,34,na,9,36,0.944444444
ASHUR,Hero,96130,na,2021,2041210,0.047094615
ASKANI,Hero,133722,na,3429,5877306,0.022752261
ASMODEUS,Hero,86821,na,1860,1728870,0.050218351
ASP II/CLEO,Hero,152841,na,4517,10199386,0.014985314
ASSAULT/,Hero,64743,na,1421,1008910,0.064171234
ASTARTE,Hero,38443,na,833,346528,0.110937644
