,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,174,22,36,792,0.2196969696969697
1,3-D MAN/CHARLES CHAN,Hero,82315,9742,5534,53912228,0.0015268335784601593
2,4-D MAN/MERCURIO,Villain,48518,4612,3822,17627064,0.0027524719942016436
3,8-BALL/,Hero,287,25,139,3475,0.08258992805755395
4,A,Hero,15106,1154,1616,1864864,0.00810032259725106
5,A'YIN,Hero,16179,1237,1642,2031154,0.007965422611973291
6,"ABBOTT, JACK",Hero,19694,2167,2108,4568036,0.004311261995308268
7,ABCISSA,Hero,32812,2882,3040,8761280,0.0037451148690602286
8,ABEL,Hero,6561,438,859,376242,0.017438244534103052
9,ABOMINATION | MUTANT,Villain,4695,261,785,204885,0.022915293945383997
10,ABOMINATION/EMIL BLO,Villain,84838,9664,5713,55210432,0.0015366298890760355
11,ABOMINATRIX,Villain,15543,1202,1833,2203266,0.007054527233661301
12,ABRAXAS,Villain,29815,2711,2816,7634176,0.0039054640605613493
13,ABSALOM,Villain,16549,1181,1922,2269882,0.0072906873573163715
14,ABSORBING MAN | MUTA,Villain,4695,261,785,204885,0.022915293945383997
15,ABSORBING MAN/CARL C,Villain,83688,9444,5561,52518084,0.0015935082475590694
16,ACBA,Hero,17110,1464,2002,2930928,0.005837741493479198
17,"ACHEBE, REVEREND DOC",Hero,38014,3662,3283,12022346,0.0031619452642604033
18,ACHILLES,Hero,200,13,84,1092,0.18315018315018314
19,ACHILLES II/HELMUT,Hero,31402,3109,2963,9211967,0.0034088268010512845
