hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
BASILISK/BASIL ELKS,Villain,3018,na,252,31626.0,0.09542781255928666
BASILISK III/,Villain,2454,na,218,23653.0,0.10375005284741894
BASILISK II,Villain,1,na,2,1.0,1.0
BATAL/,Hero,0,na,1,0.0,
BATROC/GEORGES BATRO,Villain,6178,na,529,139656.0,0.044237268717419946
BATTERING RAM,Hero,2,na,3,3.0,0.6666666666666666
BATTERY/,Hero,1,na,2,1.0,1.0
BATTLEAXE/,Hero,3995,na,287,41041.0,0.09734168270753636
BATTLEAXE II/JEROME,Hero,1858,na,181,16290.0,0.11405770411295273
"BATTLE, MONTGOMERY",Hero,2684,na,199,19701.0,0.13623673925181462
BATTLESTAR/LEMAR HOS,Hero,5875,na,470,110215.0,0.053304904051172705
BATWING/,Hero,2648,na,227,25651.0,0.10323184281314568
BAV-TEK,Hero,0,na,1,0.0,
"BAXTER, ABIGAIL",Hero,1599,na,125,7750.0,0.2063225806451613
BAXTER,Hero,0,na,1,0.0,
"BAXTER, NOAH",Hero,2852,na,224,24976.0,0.11418962203715567
"BAYLOR, FRANK",Hero,0,na,1,0.0,
BAYMAX,Hero,2718,na,203,20503.0,0.13256596595620154
"BAZIN, ALLEGRA",Hero,776,na,77,2926.0,0.2652084757347915
"BAZIN, ANDREW",Hero,527,na,52,1326.0,0.3974358974358974
"BAZIN, BRODERICK RIC",Hero,776,na,77,2926.0,0.2652084757347915
"BAZIN, PHILLIPPE",Hero,992,na,97,4656.0,0.21305841924398625
"BEACH, GINGER",Hero,4953,na,371,68635.0,0.07216434763604575
"BEACH, SPIDER",Hero,4953,na,371,68635.0,0.07216434763604575
"BEALE, ERIC",Hero,372,na,52,1326.0,0.28054298642533937
BEAR/,Hero,1679,na,150,11175.0,0.1502460850111857
BEAST 2013,Hero,0,na,1,0.0,
BEAST DOPPELGANGER I,Villain,4961,na,415,85905.0,0.057749839939468015
BEAST DOPPELGANGER,Villain,4693,na,395,77815.0,0.06030970892501446
BEAST/HENRY &HANK& P,Hero,7352,na,710,251695.0,0.029209956494964145
"BEAUMONT, SPENCER",Hero,490,na,53,1378.0,0.3555878084179971
BEAUTIFUL DREAMER II,Hero,692,na,95,4465.0,0.15498320268757
BEAUTIFUL DREAMER,Hero,2605,na,206,21115.0,0.12337201041913332
BEAUTY,Hero,1093,na,117,6786.0,0.1610669024462128
"BECKFORD, NOEL",Hero,2795,na,232,26796.0,0.10430661292730259
"BECKLEY, BENNY",Hero,0,na,1,0.0,
"BECKMAN, CHARLES",Hero,0,na,1,0.0,
