,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
119,"ANDERSON, CHARLES",Hero,132,3,17,51,2.588235294117647
120,"ANDERSON, CHET",Hero,136,1,16,16,8.5
121,"ANDERSON, CHIEF MAGI",Hero,875,4,47,188,4.654255319148936
122,"ANDERSON, GINA",Hero,137,2,16,32,4.28125
123,"ANDERSON, MARJORIE",Hero,136,1,16,16,8.5
124,"ANDERSON, NICKY",Hero,136,1,16,16,8.5
125,"ANDERSSEN, TANYA",Hero,1418,7,64,448,3.1651785714285716
126,"ANDREWS, DARYL TROOP",Hero,356,7,32,224,1.5892857142857142
127,ANDROMEDA/ANDROMEDA,Hero,3952,27,126,3402,1.1616696061140506
128,ANDROS,Hero,367,4,26,104,3.5288461538461537
129,ANDWELLA,Hero,135,2,16,32,4.21875
130,ANELLE,Hero,402,5,29,145,2.7724137931034485
131,ANGAR THE SCREAMER/D,Hero,3421,23,140,3220,1.0624223602484473
132,ANGEL 2013,Hero,55,1,10,10,5.5
133,ANGEL DOPPELGANGER,Villain,1953,1,62,62,31.5
134,ANGEL II/THOMAS HALL,Hero,11,2,4,8,1.375
135,ANGEL III/HALLOWAY,Hero,121,2,18,36,3.361111111111111
136,ANGEL IV,Hero,288,4,25,100,2.88
137,ANGEL/WARREN KENNETH,Hero,72248,444,1134,503496,0.1434926990482546
138,"ANGELOPOULOS, ANGEL",Hero,28,1,7,7,4.0
139,ANGKOR,Villain,42,2,8,16,2.625
140,ANGLER,Hero,1003,5,56,280,3.5821428571428573
141,"ANGSTROM, EARL",Hero,58,2,10,20,2.9
142,ANIELLE,Hero,21,1,6,6,3.5
143,ANIMATOR II/,Villain,66,1,11,11,6.0
144,ANIMATOR/DR. FREDRIC,Villain,316,3,25,75,4.213333333333333
145,ANIMUS,Hero,10,1,4,4,2.5
146,ANNALEE,Villain,1057,5,49,245,4.314285714285714
147,ANNIHILUS,Villain,4208,37,125,4625,0.9098378378378379
148,ANOMALY,Hero,231,1,21,21,11.0
149,ANOMALY III,Hero,91,1,13,13,7.0
150,"ANON, LORD",Hero,406,1,28,28,14.5
151,ANSWER,Villain,325,6,24,144,2.2569444444444446
152,ANSWER II/DAVID FERR,Villain,46,2,9,18,2.5555555555555554
153,ANT-MAN II/SCOTT HAR,Hero,23502,108,420,45360,0.5181216931216931
154,ANT-MAN/DR. HENRY J.,Hero,66725,561,1117,626637,0.1064811046905944
155,ANTEUS,Hero,608,4,37,148,4.108108108108108
156,ANTHROMORPHO,Hero,1599,3,61,183,8.737704918032787
157,ANTI-PHOENIX,Hero,184,2,18,36,5.111111111111111
158,ANTI-VISION,Hero,54,2,9,18,3.0
159,ANTIBODY,Hero,55,1,10,10,5.5
160,ANTIQUARY/,Hero,6,1,3,3,2.0
161,"ANTOINETTE, MARIE",Hero,179,3,19,57,3.1403508771929824
162,ANTORO,Hero,190,1,19,19,10.0
163,ANTRO,Hero,839,4,46,184,4.559782608695652
164,"ANUBAR, ANWAR",Hero,212,2,21,42,5.0476190476190474
165,ANUBIA,Hero,105,1,14,14,7.5
166,ANVIL/JOHNNY ANVIL,Hero,58,4,11,44,1.3181818181818181
167,APE MAN II/ROY MCVEY,Villain,99,2,13,26,3.8076923076923075
168,APE MAN/GORDON MONK,Villain,1813,12,70,840,2.158333333333333
169,APE-X/XINA,Hero,372,7,24,168,2.2142857142857144
170,APE/,Villain,1527,9,61,549,2.7814207650273226
171,APOCALYPSE | MUTANT,Villain,261,5,22,110,2.3727272727272726
172,APOCALYPSE/EN SABAH,Villain,13939,84,282,23688,0.5884414049307667
173,APOCRYPHUS,Hero,665,3,36,108,6.157407407407407
174,APOLLO [GREEK GOD],Hero,1469,8,69,552,2.661231884057971
175,APOSTATE,Hero,120,3,15,45,2.6666666666666665
176,APPALLA,Hero,26,2,7,14,1.8571428571428572
177,"APPLEBAUM, PHANTASY",Hero,91,1,13,13,7.0
178,AQUARIAN/WUNDARR,Hero,2812,21,102,2142,1.3127917833800187
179,AQUARIUS II/,Villain,289,3,23,69,4.188405797101449
180,AQUARIUS III/,Villain,351,1,26,26,13.5
181,AQUARIUS/DARREN BENT,Villain,771,9,42,378,2.0396825396825395
182,ARABIAN KNIGHT/ABDUL,Hero,10178,15,170,2550,3.9913725490196077
183,ARACHNE,Hero,839,4,46,184,4.559782608695652
184,ARAGORN,Hero,3423,32,128,4096,0.835693359375
185,ARAKI II,Hero,881,3,46,138,6.384057971014493
186,ARAKI [SHI'AR],Hero,2070,9,78,702,2.948717948717949
187,"ARBOGAST, BAMBI",Hero,6270,87,201,17487,0.3585520672499571
188,ARCADE/,Villain,3736,28,129,3612,1.034330011074197
189,ARCADIUS,Hero,1271,8,53,424,2.9976415094339623
190,ARCANNA/ARCANNA JONE,Hero,4615,32,153,4896,0.9426062091503268
191,ARCHAEOPTERYX/TONAJA,Hero,537,10,32,320,1.678125
192,"ARCHER, ULYSSES SAMS",Hero,225,21,17,357,0.6302521008403361
193,ARCHER/JUDE BLACK,Hero,275,7,26,182,1.510989010989011
194,ARCLIGHT/PHILLIPA SO,Villain,4642,19,140,2660,1.7451127819548873
195,ARCTURUS,Hero,47,2,9,18,2.611111111111111
196,ARES [GREEK GOD],Villain,3359,29,121,3509,0.957252778569393
197,AREX,Hero,518,2,35,70,7.4
