,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
239,"ASHER, CARL",Hero,34,na,9,36.0,0.9444444444444444
240,"ASHER, DONNA",Hero,34,na,9,36.0,0.9444444444444444
241,"ASHER, MICHAEL",Hero,34,na,9,36.0,0.9444444444444444
242,ASHUR,Hero,96130,na,2021,2041210.0,0.04709461544867995
243,ASKANI,Hero,133722,na,3429,5877306.0,0.022752260984879806
244,ASMODEUS,Hero,86821,na,1860,1728870.0,0.05021835071462863
245,ASP II/CLEO,Hero,152841,na,4517,10199386.0,0.014985313821832021
246,ASSAULT/,Hero,64743,na,1421,1008910.0,0.06417123430236592
247,ASTARTE,Hero,38443,na,833,346528.0,0.11093764428848463
248,"ASTER, LUCIAN",Hero,112792,na,2814,3957891.0,0.028498005629765955
249,ASTRA,Hero,145272,na,4095,8382465.0,0.017330463055914937
250,ASTRA II,Hero,100476,na,2225,2474200.0,0.040609489936140976
251,ASTROLOGER/,Hero,76633,na,1562,1219141.0,0.06285819277671738
252,ASTRONOMER,Hero,100297,na,2249,2527876.0,0.039676392354688284
253,"ASTROVIK, ARNOLD",Hero,66785,na,1423,1011753.0,0.0660091939435811
254,"ASTROVIK, NORMA",Hero,144938,na,4141,8571870.0,0.0169085625423624
255,ASYLUM II/HENRIQUE M,Hero,63808,na,1321,871860.0,0.07318606198242837
256,ASYLUM/,Hero,99163,na,2109,2222886.0,0.04461002498553682
257,ATALANTA,Hero,149413,na,4341,9419970.0,0.01586130316763217
258,ATALON,Hero,61442,na,1199,718201.0,0.08554986695924957
259,ATHENA [GREEK GOD],Hero,138568,na,3599,6474601.0,0.021401782132983948
260,"ATKINSON, MAJ. EDMON",Hero,130844,na,3355,5626335.0,0.023255636217893175
261,ATLAS,Hero,129760,na,3384,5724036.0,0.022669319340409458
262,ATLAS III,Hero,87243,na,1689,1425516.0,0.06120099669172426
263,ATOM-SMASHER/,Hero,91183,na,1924,1849926.0,0.04929007971129656
